COD_AUTOR;HOMONIMO;FORMATO;NOME;RESUMOS
21584;;Souza DS;Débora Souto de Souza;PIf036
22886;;Souza EA;emmanuel albuquerque de souza;PNd081, PNf068
11659;;Souza EC;Elbio Costa Souza;PNf136
2741;H2;Souza EM;Evelise Machado de Souza;PNf165
6874;H1;Souza EM;Erick Miranda Souza;AO029, PNd041, PNf037
15834;H1;Souza FA;Flávio de Araújo Souza;PIa117
3792;H2;Souza FA;Francisley Ávila Souza;AO011, PIa005, PNc230, PNf223
6577;;Souza FB;Fábio Barbosa De Souza;PIf029, PNf143
3059;;Souza FI;Fernando Isquierdo de Souza;AO095, AO099, AO100
11848;;Souza FN;Fernanda Nunes de Souza;PIa069, PIa099, PIb058, PId069, PId098
26831;;Souza GCLL;Gabriela Crusoé Lopes Leite de Souza;PNe174
1632;;Souza HMMR;Hilda Maria Montes Ribeiro de Souza;PIc077
25487;;Souza HMR;HUGO MONTES RIBEIRO DE SOUZA;PO003
21020;H1;Souza IF;Isadora Follak de Souza;PIa119
13191;H2;Souza IF;Isabela Fernandes de Souza;PIe040
1183;;Souza IPR;Ivete Pomarico Ribeiro de Souza;AO118, PIf043, PIf105, PNd151, PNe080
26877;;Souza ISC;Itala sued carneiro de Souza;PId032
25884;;Souza JA;Juliana Aparecida de Souza;PIb005, PIc143, PIf129
15560;;Souza JAS;José Antonio Santos Souza;PNd146, COL005
5958;;Souza JB;João Batista de Souza;AO077, PIa139, PIc053, PId006, PIe020, PNa064, PNa161, PNb070, PNe010, PNe029, PNe154, PNf030
23772;;Souza JC;Jucilene Conceição de Souza;PNf031
8101;;Souza JCM;Júlio César Matias de Souza;PIc099, PIc116, PNe144
1851;;Souza JF;Juliana Feltrin de Souza;HA006, AO113, PNa029, PNb013, PNf003
9473;;Souza JGO;João Gustavo Oliveira de Souza;PIc099, PIc116, PId101, PNc203, PNc222, PNd218
21861;;Souza JGS;João Gabriel Silva Souza;PE021, PNd253
21668;;Souza JMF;Jose Maria Ferreira de Souza;PNc105
26652;;Souza JML;Janice Maria Lopes de Souza;PIc130
2118;;Souza LB;Lélia Batista De Souza;AO005, PNa231, PNb231, PNd168
13138;H2;Souza LC;Lidiane Costa de Souza;PNb090, PNf170
23165;H1;Souza LC;Liliete Canes Souza;PNa050, PNd131
491;H3;Souza LC;Letícia Chaves de Souza;PNe045, PNf055
21388;;Souza LHJ;Luiz Henrique Júlio de Souza;PNb247
11533;;Souza LMA;Liane Maciel de Almeida Souza;PNf018
25418;;Souza LMP;Lárissa Marcondes Paladini de Souza;PNe043
14493;;Souza LV;Lorraine Vilela de Souza;AO085
22473;H1;Souza MA;Marcio Anderson de Souza;PId123
3715;H2;Souza MA;Matheus Albino Souza;PIa010, PIa020, PIb010, PIb011, PIb015, PId020, PIe072, PNd019, PNd052, PNe025, PNe054
17999;;Souza MACA;Martha Aparecida Camilo Alves de Souza;PNc071
21101;;Souza MBC;Mariana Barbosa Câmara de Souza;PIf096, PNe203
3231;;Souza MCA;Maria Cristina Almeida de Souza;PE017
